Ticket No,Start Date,Timespent,Comment
PPE-472179,01-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,03-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,07-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,08-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,09-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,10-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,14-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,15-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,17-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,21-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,22-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,23-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,24-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,28-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,29-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,31-Aug-2023 09:00:00,0h 30m,Agile: Stand Up
PPE-472179,14-Aug-2023 09:00:00,1h 0m,Agile: Grooming
PPE-472179,28-Aug-2023 09:00:00,1h 0m,Agile: Grooming
PPE-472179,02-Aug-2023 09:00:00,1h 0m,Agile: Planning
PPE-472179,16-Aug-2023 09:00:00,1h 0m,Agile: Planning
PPE-472179,30-Aug-2023 09:00:00,1h 0m,Agile: Planning
PPE-513223,01-Aug-2023 09:00:00,7h 30m,BrandPlay - Chapters
PPE-513223,02-Aug-2023 09:00:00,7h 0m,BrandPlay - Chapters
PPE-513223,03-Aug-2023 09:00:00,7h 30m,BrandPlay - Chapters
PPE-513223,04-Aug-2023 09:00:00,8h 0m,BrandPlay - Chapters
PPE-513223,07-Aug-2023 09:00:00,7h 30m,BrandPlay - Chapters
PPE-513223,08-Aug-2023 09:00:00,7h 30m,BrandPlay - Chapters
PPE-513223,09-Aug-2023 09:00:00,7h 30m,BrandPlay - Chapters
PPE-513223,10-Aug-2023 09:00:00,7h 30m,BrandPlay - Chapters
PPE-513223,14-Aug-2023 09:00:00,6h 30m,BrandPlay - Chapters
PPE-515943,15-Aug-2023 09:00:00,7h 30m,BrandPlay - Chapters
PPE-515943,16-Aug-2023 09:00:00,7h 0m,BrandPlay - Chapters
PPE-515943,17-Aug-2023 09:00:00,7h 30m,BrandPlay - Chapters
PPE-516941,21-Aug-2023 09:00:00,7h 30m,BrandPlay - Broadcast Events
PPE-516941,22-Aug-2023 09:00:00,7h 30m,BrandPlay - Broadcast Events
PPE-516941,23-Aug-2023 09:00:00,7h 30m,BrandPlay - Broadcast Events
PPE-516941,24-Aug-2023 09:00:00,7h 30m,BrandPlay - Broadcast Events
PPE-516941,25-Aug-2023 09:00:00,8h 0m,BrandPlay - Broadcast Events
PPE-516941,28-Aug-2023 09:00:00,6h 30m,BrandPlay - Broadcast Events
PPE-516941,29-Aug-2023 09:00:00,7h 30m,BrandPlay - Broadcast Events
